Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Koji USD,KOJI-USD,2023-03-27,9.999999974752427e-07,9.999999974752427e-07,0.0,0.0,0.0,0
Koji USD,KOJI-USD,2023-04-11,0.0,0.0,0.0,0.0,0.0,81
Koji USD,KOJI-USD,2023-04-13,0.0,0.0,0.0,0.0,0.0,250
Koji USD,KOJI-USD,2023-04-16,0.0,0.0,0.0,0.0,0.0,54
Koji USD,KOJI-USD,2023-04-17,0.0,0.0,0.0,0.0,0.0,202
Koji USD,KOJI-USD,2023-04-19,0.0,0.0,0.0,0.0,0.0,4
Koji USD,KOJI-USD,2023-04-20,0.0,0.0,0.0,0.0,0.0,777
Koji USD,KOJI-USD,2023-04-23,0.0,0.0,0.0,0.0,0.0,941
Koji USD,KOJI-USD,2023-04-24,0.0,0.0,0.0,0.0,0.0,452
Koji USD,KOJI-USD,2023-04-25,0.0,0.0,0.0,0.0,0.0,803
Koji USD,KOJI-USD,2023-06-13,0.0,3.7999998312443495e-05,0.0,0.0,0.0,0
Koji USD,KOJI-USD,2023-09-14,2.186017127314699e-07,2.188070453712499e-07,2.1852302722891181e-07,2.1860691390429565e-07,2.1860691390429565e-07,802
Koji USD,KOJI-USD,2023-09-15,2.186316123697907e-07,2.1875533207094122e-07,2.185638408036539e-07,2.1872517663723562e-07,2.1872517663723562e-07,802
Koji USD,KOJI-USD,2023-09-16,2.1858177490230449e-07,2.188153160886941e-07,2.185695677781041e-07,2.187165080158593e-07,2.187165080158593e-07,802
Koji USD,KOJI-USD,2023-09-17,2.1874132016819209e-07,2.1884659417992225e-07,2.185851002423079e-07,2.1864137522698002e-07,2.1864137522698002e-07,802
Koji USD,KOJI-USD,2023-09-18,2.1863662880150522e-07,2.187883723081541e-07,2.1852987686088454e-07,2.1861841048576025e-07,2.1861841048576025e-07,802
Koji USD,KOJI-USD,2023-09-19,2.1859523258171978e-07,2.187902481409765e-07,2.185536658316778e-07,2.18644970573223e-07,2.18644970573223e-07,802
Koji USD,KOJI-USD,2023-09-20,2.186040291007885e-07,2.187687329069377e-07,2.1851344911283377e-07,2.18649958583228e-07,2.18649958583228e-07,802
Koji USD,KOJI-USD,2023-09-21,2.186528291758805e-07,2.1870448563277026e-07,2.185014977840183e-07,2.185733052328942e-07,2.185733052328942e-07,802
Koji USD,KOJI-USD,2023-09-24,2.1856753562587985e-07,2.18711036836794e-07,2.185385312714061e-07,2.186419294503139e-07,2.186419294503139e-07,802
Koji USD,KOJI-USD,2023-09-25,2.1868055455342986e-07,2.1877582412344054e-07,2.184233096613753e-07,2.185791601050369e-07,2.185791601050369e-07,802
Koji USD,KOJI-USD,2023-09-26,2.1860299170839426e-07,2.186700953643595e-07,2.1843226249984585e-07,2.1851732867617105e-07,2.1851732867617105e-07,802
Koji USD,KOJI-USD,2023-09-27,2.1846105369149882e-07,2.185852707725644e-07,2.183633540653318e-07,2.185201140036952e-07,2.185201140036952e-07,802
Koji USD,KOJI-USD,2023-09-28,2.184702196927901e-07,2.187925076668762e-07,2.183363392305182e-07,2.185964547152253e-07,2.185964547152253e-07,802
Koji USD,KOJI-USD,2023-09-29,2.1863093024876442e-07,2.187104257700412e-07,2.184893759249463e-07,2.1858663501461706e-07,2.1858663501461706e-07,802
Koji USD,KOJI-USD,2023-09-30,2.1866273414161697e-07,2.1874011224554127e-07,2.1853146847661267e-07,2.1865309918212009e-07,2.1865309918212009e-07,802
Koji USD,KOJI-USD,2023-10-01,2.1861812626866595e-07,2.1875472100418847e-07,2.185316247960145e-07,2.1856098442185612e-07,2.1856098442185612e-07,802
